data.mel-adem-53-seriennummer,data.regenerations-cmd-code,data.regenerations-code
1253MD1185-2,,26E5FD-MD-E8FD4C
1153MD1036-2,,C38206-MD-E882D3
202253CMD1048-1,3E9DCD-MC-E88DB1,
202453CMD1059-1,6F080B-MC-E859A3,6F080B-MC-E859A3
202553CMD1021-1,6F080B-MC-E859A3,6F080B-MC-E859A3
1453MD1735-2,,DF6496-MD-E8C5BE
202453MD1879-1,,DED09B-MD-E89BDF
201753MD1522-1,,741EBD-MD-E87626
201953MD1058-1,,B2621D-MD-E871F2
1353MD1078-2,,76C5A9-MD-E8C727
202353MD1201-1,,1D9206-MD-E8E108
202153MD1058-1,,3F8B6B-MD-E83666
202253MD1212-2,,17CB6B-MD-E8AA62
202153MD1625-2,,35CA7F-MD-E87E8A
202153MD1001-1,,8FD3AD-MD-E8E94A
201653MD1240-2,,BCC7BD-MD-E8EFA7
202053MD1609-1,,5D9E0B-MD-E88804
202353MD1183-1,,626E0B-MD-E8B507
202353CMD1103-2,A4726B-MC-E8ED7D,
202153MD1109-1,,7645A9-MD-E8333B
1353MD1240-3,,3A2625-MD-E8E8FB
201653MD1378-1,,E87496-MD-E88D4A
202553MD1288-2,,40C7BD-MD-E84EE4
202253MD1089-1,,7BFB6B-MD-E83F4B
201653MD1952-1,,B01625-MD-E870D0
202653MD1206-2,,D6F95B-MD-E857FF
202053MD1560-2,,491625-MD-E83D3E
1353MD1183-1,,25F4A9-MD-E8A897
201753MD1446-6,,6B8206-MD-E89E55
202353MD1458-1,,8AB4A9-MD-E8F4F0
202553MD1922-2,,84A4A9-MD-E8FE9A
201953MD1666-2,,B16D87-MD-E8382B
202253MD1296-1,,61F57B-MD-E8158A
201553MD1824-1,,C8A625-MD-E8B34E
202253MD1150-2,,C604A9-MD-E8B8F4
201653MD1825-2,,21BD0B-MD-E8043E
202153CMD1113-1,4A9CB9-MC-E80D08, 	  4A9CB9-MC-E80D08
202453MD1518-2,,8654A9-MD-E83A3E
202053MD1212-1,,F24496-MD-E811D3
202253MD1901-3,,42FD0B-MD-E859E5
201553MD1439-2,,8835A9-MD-E8664B
202253MD1060-2,,61A5A9-MD-E88C7C
202253MD1582-2,,55B5A9-MD-E84682
202553MD1616-1,,169206-MD-E8713F
202553MD1477-1,,8475A9-MD-E8B9D3
201753MD1561-1,,55f625-MD-E86F17
201953MD1504-1,,ABC09B-MD-E85C07
202253MD1126-2,,D9E5A9-MD-E82F4B
202053MD1658-1,,EFA206-MD-E852D2
201753MD1143-1,,430625-MD-E88D26
202553MD1110-1,,19B5A9-MD-E82CD1
201953MD1370-2,,7DDD0B-MD-E88F00
202153MD1069-2,,09FB6B-MD-E8B647
1353MD1171-1,,6AC09B-MD-E8651B
1353MD1079-1,,B8D8C0-MD-E8674C
202353MD1520-2,,9F3625-MD-E8D3E5
202053MD1171-1,,CB8496-MD-E85FFD
202053MD1171-2,,CB8496-MD-E85FFD
202053CMD1110-1,355346-MC-E85DF0, 	  355346-MC-E85DF0
201553MD1321-1,,880E0B-MD-E86C53
202353MD1574-2,,DA2C46-MD-E846EC
202453MD1239-1,,DF7B0A-MD-E87B77
202153CMD1147-1,E80D00-MC-E84848,
202153MD1558-1,,D17496-MD-E8F5B0
201853MD1262-2,,1FCF5B-MD-E8FEDC
202453MD1063-1,,C34496-MD-E864DD
1153MD1104-1,,0AEB6B-MD-E87C39
201753MD1550-3,,548180-MD-E84CE4 
202353MD1182-1,,7A8C40-MD-E864A2
201553MD1687-3,,1DB5A9-MD-E87E43
202353MD1182-2,,A2FC40-MD-E8A95F
201753MD1283-1,,B2B87B-MD-E8B490
1453MD1611-2,,9464A9-MD-E8F1D0
1453MD1201-2,,D3F5A9-MD-E8B4BD
202553MD1878-2,,B0F6C0-MD-E8E192
1453MD1201-2,,D3F5A9-MD-E8B4BD
202553MD1086-1,,11B625-MD-E83171
201853CMD1045-3,0812D0-MC-E804ED,
202453MD1316-2,,1E1C46-MD-E87174
202253MD1938-2,,278F65-MD-E8F716
202253MD1938-2,,278F65-MD-E8F716
202153MD1133-2,,E2EAE0-MD-E80355
202253MD1034-1,,F4B87B-MD-E84045
1453MD1727-1,,3F75A9-MD-E89631
